,Suburb,Schools
954,Pearcedale,1
955,Penshurst,1
956,Point Cook,7
957,Point Lonsdale,1
958,Pomonal,1
959,Poowong,1
960,Porepunkah,1
961,Port Fairy,1
962,Port Melbourne,3
963,Portarlington,1
964,Portland,5
965,Portland North,1
966,Preston,8
967,Princes Hill,1
968,Puckapunyal,1
969,Pyalong,1
970,Pyramid Hill,1
971,QUARRY HILL,1
972,QUEENSCLIFF,1
973,Quarry Hill,1
974,Queenscliff,1
975,RED CLIFFS,1
976,REDAN,1
977,RESEARCH,1
978,RESERVOIR,3
979,RESERVOIR EAST,1
980,RESERVOIR NORTH,1
981,RHYLL,1
982,RICHMOND,3
983,RINGWOOD,3
984,RINGWOOD EAST,1
985,RINGWOOD NORTH,1
986,ROBINVALE,1
987,ROCHESTER,1
988,ROSANNA,1
989,ROSEBUD,2
990,ROWVILLE,1
991,ROXBURGH PARK,1
992,RUSHWORTH,1
993,RUTHERGLEN,1
994,RYANSTON,1
995,Rainbow,1
996,Rawson,1
997,Raywood,1
998,Red Cliffs,3
999,Red Hill,1
1000,Redesdale,1
1001,Research,1
1002,Reservoir,8
1003,Richmond,6
1004,Riddells Creek,1
1005,Ringwood,4
1006,Ringwood East,2
1007,Ringwood North,2
1008,Ripplebrook,1
1009,Robinvale,1
1010,Rochester,2
1011,Rockbank,1
1012,Rokewood,1
1013,Romsey,1
1014,Rosanna,3
1015,Rosebud,2
1016,Rosedale,1
1017,Rowville,5
1018,Roxburgh Park,4
1019,Rupanyup,1
1020,Rushworth,1
1021,Rutherglen,2
1022,Rye,1
1023,SALE,4
1024,SANDRINGHAM,1
1025,SCORESBY,1
1026,SEA LAKE,1
1027,SEAFORD,1
1028,SEBASTOPOL,2
1029,SEYMOUR,1
1030,SHEPPARTON,5
1031,SHEPPARTON NORTH,1
1032,SHEPPARTON SOUTH,1
1033,SOMERVILLE,1
1034,SORRENTO,1
1035,SOUTH MELBOURNE,2
1036,SOUTH MORANG,2
1037,SOUTH YARRA,3
1038,SPOTSWOOD,1
1039,SPRINGVALE,3
1040,SPRINGVALE SOUTH,1
1041,ST ALBANS,2
1042,ST ALBANS SOUTH,1
1043,ST ARNAUD,1
1044,ST HELENA,1
1045,ST KILDA,2
1046,ST KILDA EAST,5
1047,STAWELL,1
1048,STRATFORD,1
1049,STRATHDALE,1
1050,STRATHFIELDSAYE,1
1051,STRATHMORE,1
1052,SUNBURY,5
1053,SUNSHINE,1
1054,SUNSHINE NORTH,2
1055,SUNSHINE SOUTH WEST,1
1056,SUNSHINE WEST,2
1057,SURREY HILLS,2
1058,SWAN HILL,3
1059,SYDENHAM,2
1060,Sale,5
1061,San Remo,1
1062,Sandringham,3
1063,Sandy Creek,1
1064,Sassafras,2
1065,Scoresby,2
1066,Sea Lake,1
1067,Seabrook,1
1068,Seaford,7
1069,Seaholme,1
1070,Seaspray,1
1071,Sebastopol,2
1072,Selby,1
1073,Seville,1
1074,Seymour,1
1075,Shelford,1
1076,Shepparton,7
1077,Shepparton East,1
1078,Silvan,1
1079,Simpson,1
1080,Skipton,1
1081,Skye,1
1082,Smythesdale,1
1083,Soldiers Hill,1
1084,Somers,2
1085,Somerville,3
1086,Sorrento,1
1087,South Geelong,1
1088,South Melbourne,1
1089,South Morang,2
1090,South Yarra,3
1091,Southbank,2
1092,Spotswood,1
1093,Springhurst,1
1094,Springvale,4
1095,Springvale South,3
1096,St Albans,10
1097,St Andrews,1
1098,St Arnaud,2
1099,St Kilda,2
1100,St Kilda East,1
1101,St Leonards,1
1102,Stanhope,1
1103,Stawell,4
1104,Stratford,1
1105,Strathewen,1
1106,Strathfieldsaye,1
1107,Strathmerton,1
1108,Strathmore,3
1109,Strathtulloh,1
1110,Sunbury,9
1111,Sunshine,4
1112,Sunshine North,3
1113,Sunshine West,3
1114,Surrey Hills,2
1115,Swan Hill,4
1116,Swan Reach,1
1117,Swifts Creek,1
1118,Sydenham,1
1119,TALLANGATTA,1
1120,TARNEIT,5
1121,TARRINGTON,1
1122,TATURA,1
1123,TAYLORS HILL,1
1124,TEMPLESTOWE,1
1125,TEMPLESTOWE LOWER,1
1126,TERANG,1
1127,THE BASIN,1
1128,THOMASTOWN EAST,1
1129,THOMASTOWN WEST,1
1130,THORNBURY,1
1131,THORNBURY EAST,1
1132,TONGALA,1
1133,TOORAK,3
1134,TORQUAY,1
1135,TORQUAY NORTH,1
1136,TRAFALGAR,1
1137,TRARALGON,2
1138,TRARALGON WEST,1
1139,TRAVANCORE,1
1140,TRUGANINA,2
1141,TRUGANINA SOUTH,1
1142,TYABB,1
1143,TYNONG,1
1144,Talbot,1
1145,Talgarno,1
1146,Tallangatta,2
1147,Tallarook,1
1148,Tallygaroopna,1
1149,Tambo Upper,1
1150,Tangambalanga,1
1151,Tanjil South,1
1152,Taradale,1
1153,Tarnagulla,1
1154,Tarneit,4
1155,Tarwin Lower,1
1156,Tatura,2
1157,Tawonga,1
1158,Taylors Hill,1
1159,Taylors Lakes,2
1160,Tecoma,1
1161,Teesdale,1
1162,Templestowe,2
1163,Templestowe Lower,2
1164,Tempy,1
1165,Terang,1
1166,The Basin,1
1167,The Patch,1
1168,Thomastown,6
1169,Thornbury,6
1170,Thornton,1
1171,Thorpdale,1
