,SA2,2005_income,2006_income,2007_income,2008_income,2009_income
1603,405031123,30459,33389,36532,39020,38194
1604,405041124,31523,31399,37180,41792,41776
1605,405041125,28556,29574,32473,35593,34707
1606,405041126,28877,28931,30770,33235,33977
1607,405041127,27412,30391,33454,36890,34241
1608,405041128,25422,26856,28601,28967,29290
1609,406011129,31809,32193,34912,36994,39708
1610,406011130,25867,27323,29405,34940,34540
1611,406011131,18677,25367,28017,30305,34971
1612,406011132,17653,21693,23426,31093,36013
1613,406011133,34991,38155,39361,41180,43434
1614,406011134,27931,30260,33230,34856,37002
1615,406011135,32255,32511,34936,37553,40119
1616,406011136,39733,43157,45032,47619,48138
1617,406021138,23528,24463,27532,31001,33517
1618,406021139,27278,29011,32498,36822,36466
1619,406021140,32389,33250,35618,37351,40464
1620,406021141,37972,40750,44110,45711,47355
1621,406021142,36046,38712,40593,42994,44750
1622,406021143,56357,60774,66904,73049,68359
1623,407011144,28869,30676,30502,32044,32968
1624,407011145,26545,29189,30583,31037,31708
1625,407011146,32006,34031,36061,37614,37993
1626,407011147,31674,34244,35162,37010,37488
1627,407011148,29141,30206,30426,32136,34588
1628,407011149,28748,31333,33002,34951,34476
1629,407021150,34909,36630,38037,40027,39981
1630,407021151,30133,33168,34698,37155,36099
1631,407021152,35050,39378,38909,40654,40243
1632,407021153,35576,37313,38503,39981,40899
1633,407021154,31595,32545,35499,37326,37296
1634,407021155,28400,28506,35093,37106,32623
1635,407021156,32040,34893,38294,41538,41836
1636,407021157,28096,27448,35646,32532,32518
1637,407021158,34524,38419,37755,39920,39714
1638,407031159,29576,30320,31658,34721,32834
1639,407031160,33384,34393,34842,36913,37437
1640,407031161,22073,23529,31430,24713,25931
1641,407031162,29671,32412,32587,33770,31548
1642,407031163,30383,33115,31592,31392,29865
1643,407031164,28542,30739,32191,33169,33146
1644,407031165,29200,31826,32552,33644,34490
1645,407031166,28805,31769,32002,33903,33550
1646,407031167,30426,31205,31447,33338,33293
1647,407031168,31251,32375,32456,33559,35083
1648,407031169,26846,26273,30859,29945,30451
1649,407031170,28566,30625,31853,32812,33504
1650,499999999,42398,51444,42361,50223,56177
1651,501011001,30889,34486,33127,37989,37334
1652,501011002,34188,37560,38918,40903,41770
1653,501011003,39064,42110,41552,43400,46285
1654,501011004,31958,34984,35843,37046,39443
1655,501021005,42184,44726,46856,51519,52756
1656,501021006,41061,43194,44762,48900,51386
1657,501021007,36749,38402,40108,43915,45621
1658,501021008,41065,43189,44764,48902,51381
1659,501021009,42205,44689,46482,52347,54091
1660,501021010,40144,43330,46340,49470,48216
1661,501021011,32894,36095,40354,43314,46610
1662,501021012,39344,42143,44487,48252,50510
1663,501021013,41003,43143,44671,48895,51143
1664,501021014,38586,40517,43181,46303,45904
1665,501021015,41063,43219,44816,48951,51397
1666,501021016,40936,45796,45948,49251,48247
1667,501031017,32632,34252,34382,36979,37706
1668,501031018,33985,34786,38383,39324,40231
